voyage_id,voyage_number,vessel_id,vessel_name,module_type,start_date_utc,end_date_utc,offhire_days,is_estimate,tags,url,extracted_at
F07C63363AA52CE4DA88F51E243FDF49,2103,209D06702B1690A482F4FC9834526205,Stena Provence,Spot,2021-05-20T05:30:00,2021-07-27T03:48:00,0.0,False,"P-Max, Clean, Stena Provence (#3212), Comm: Yes",https://vm.q88.com/VM/Voyage/Voyages?voyageid=F07C63363AA52CE4DA88F51E243FDF49,2026-01-16T07:14:42.967181+00:00
8C8ABAED635849EDC99CCFB4A699F593,2201,E2BDD92EE7E8C6D75386141881A16BCC,Kuljak Arrow,Spot,2022-11-16T04:30:00,2022-12-27T07:30:00,0.0,False,"Mitshubishi 22, MR old, short, Non Scrubber, PnC SING, Short Pool (#170), Stena Bulk A/S (#341), Not Sanctioned",https://vm.q88.com/VM/Voyage/Voyages?voyageid=8C8ABAED635849EDC99CCFB4A699F593,2026-01-16T07:14:42.967921+00:00
5F1D3AE7140B97ECE1CEE7C339C38316,2107,4F9EDC019D5E64B0F0E71E9198AE9430,Sonangol Porto Amboim,Spot,2021-10-16T04:30:00,2021-12-11T08:00:00,0.0,False,"Suezmax, Stena Sonangol Suezmax Pool LP (#3435), Comm: Yes",https://vm.q88.com/VM/Voyage/Voyages?voyageid=5F1D3AE7140B97ECE1CEE7C339C38316,2026-01-16T07:14:42.968562+00:00
6227748A22F3EDA151AC211A23A49947,2107,E2322AC6FFAD3FE780075F8DE33C37CA,Sonangol Namibe,Spot,2021-11-16T05:30:00,2021-12-20T21:00:00,0.0,False,"Suezmax, Stena Sonangol Suezmax Pool LP (#3435), Not Sanctioned, Comm: Yes",https://vm.q88.com/VM/Voyage/Voyages?voyageid=6227748A22F3EDA151AC211A23A49947,2026-01-16T07:14:42.969102+00:00
DD73A9657D7609C9AD24445398408847,2101,4F9EDC019D5E64B0F0E71E9198AE9430,Sonangol Porto Amboim,Spot,2021-01-07T08:12:00,2021-02-12T06:00:00,0.0,False,"Stena Sonangol Suezmax Pool (#3424), Comm: Yes",https://vm.q88.com/VM/Voyage/Voyages?voyageid=DD73A9657D7609C9AD24445398408847,2026-01-16T07:14:42.969663+00:00
A0B05E14B72C5C9A088FCB75D2DA2B14,2102,648ECB14EDECDB95772AA913EA6B43B3,Jade Blossom,Spot,2021-02-25T05:18:00,2021-04-25T01:00:00,0.0,False,"MR old, short, Short Pool (#170), Stena Bulk A/S (#341), Not Sanctioned, Comm: Yes",https://vm.q88.com/VM/Voyage/Voyages?voyageid=A0B05E14B72C5C9A088FCB75D2DA2B14,2026-01-16T07:14:42.970186+00:00
1E418B9D3DEAB7C4CFFA858581C852DF,2403,3ADF28F89ABD7CD7E8C9966E7A8821D2,Almi Sky,Spot,2024-04-17T17:54:00,2024-07-10T22:01:00,0.0,False,"Suezmax, Stena Sonangol Suezmax Pool LP (#3435), Comm: Yes",https://vm.q88.com/VM/Voyage/Voyages?voyageid=1E418B9D3DEAB7C4CFFA858581C852DF,2026-01-16T07:14:42.970658+00:00
B366A5BAD96F234CFB2FDD2B1FDF930E,2101,8449CB98CE2FA36CB9033CF91115C5C2,MTM Potomac,Spot,2021-10-05T21:00:00,2021-12-24T14:12:00,0.0,False,"MR old, short, NBPOL 2021, Non Scrubber, PnC SING, Short Pool (#170), Stena Bulk A/S (#341), Not Sanctioned, Comm: Yes",https://vm.q88.com/VM/Voyage/Voyages?voyageid=B366A5BAD96F234CFB2FDD2B1FDF930E,2026-01-16T07:14:42.971542+00:00
215CD18F42853B4467F68D337F2818B3,2201,DAF1D90B6196E9700307D8A6A9936103,Nord Vanquish,TC Voyage,2022-01-31T00:12:00,2022-05-16T04:30:00,8.4,False,"ECO Pool (#150), MR ECO, long, Scrubber, Stena Bulk A/S (#341), Comm: Yes",https://vm.q88.com/VM/Voyage/Voyages?voyageid=215CD18F42853B4467F68D337F2818B3,2026-01-16T07:14:42.972405+00:00
4691DC7C2D72947D7807CFA6A17F9723,2003,B1FB3C8A79375979F734E114C0763401,Sonangol Cazenga,Spot,2020-09-02T16:00:00,2020-11-25T12:48:00,0.0,False,"Stena Sonangol Suezmax Pool (#3424), Not Sanctioned, Comm: Yes",https://vm.q88.com/VM/Voyage/Voyages?voyageid=4691DC7C2D72947D7807CFA6A17F9723,2026-01-16T07:14:42.972849+00:00
814A361E6F64082102A4E4457BCE0990,2108,09937CC14196235E4F9899AFCEFF5323,Stena Performance,Spot,2021-12-10T17:48:00,2021-12-31T14:30:00,0.0,False,"CVC Chevron 2021, P-Max, Clean, PMAX (#800), Stena Bulk AB (#303), Comm: Yes",https://vm.q88.com/VM/Voyage/Voyages?voyageid=814A361E6F64082102A4E4457BCE0990,2026-01-16T07:14:42.973161+00:00
587EC36B6B0EDEB82B9A867E89E3945E,2201,0D37D4D676391F8BCACE4AC26EA54A65,Stena Important,Spot,2022-02-11T15:30:00,2022-03-13T06:24:00,0.0,False,"IMO Pool (#160), MR IMOIIMAX, long, Stena Bulk A/S (#341), Comm: Yes",https://vm.q88.com/VM/Voyage/Voyages?voyageid=587EC36B6B0EDEB82B9A867E89E3945E,2026-01-16T07:14:42.973598+00:00
34AB7571603DD7E5CD555D77EBB783D8,2404,8AD29A25E07A36337F61850610827582,Stena Imprimis,Spot,2024-05-11T18:48:00,2024-06-04T05:36:00,0.0,False,"IMO Pool (#160), MR IMOIIMAX, long, Scrubber, Stena Bulk A/S (#341), Comm: Yes",https://vm.q88.com/VM/Voyage/Voyages?voyageid=34AB7571603DD7E5CD555D77EBB783D8,2026-01-16T07:14:42.973925+00:00
9F520A46D4942076E6F77A3235FB8B62,2404,9ADD42678DB78F25AAB34AD9A2D13F8B,Dee4 Juniper,Spot,2024-05-11T01:00:00,2024-06-25T05:30:00,0.0,False,"ECO Pool (#150), MR ECO, long, Non Scrubber, PnC CPH, Stena Bulk A/S (#341), Not Sanctioned, Comm: Yes",https://vm.q88.com/VM/Voyage/Voyages?voyageid=9F520A46D4942076E6F77A3235FB8B62,2026-01-16T07:14:42.974370+00:00
