voyage_id,fixture_display_order,fixture_number,cp_date,cp_quantity,demurrage,laycan_start,laycan_end,laytime,fixture_remark
F07C63363AA52CE4DA88F51E243FDF49,1,,2021-05-25T00:00:00,57000.0,18000.0,2021-05-27T00:01:00,2021-05-28T23:59:00,84.0,
8C8ABAED635849EDC99CCFB4A699F593,1,11/Nov - COA 6th,2021-10-18T00:00:00,40000.0,,,,95.0,
5F1D3AE7140B97ECE1CEE7C339C38316,1,,2021-11-12T00:00:00,130000.0,30000.0,2021-11-16T00:01:00,2021-11-16T15:00:00,72.0,"AWRP on c/a. Guards split 50/50, max 40k for c/a."
6227748A22F3EDA151AC211A23A49947,1,2107,2021-11-10T00:00:00,145000.0,30000.0,2021-11-24T00:01:00,2021-11-25T23:59:00,72.0,"LAYCAN    
COMMENCING: 20 NOVEMBER 2021 0001 HRS
CANCELLING: 25 NOVEMBER 2021 1500 HRS 
-	TBN 2 CHOPT
"
DD73A9657D7609C9AD24445398408847,1,,2021-01-07T00:00:00,130000.0,24000.0,2021-01-08T00:01:00,2021-01-10T23:59:00,84.0,wharfage and awrp in fuj for c/a
A0B05E14B72C5C9A088FCB75D2DA2B14,1,,2021-02-11T00:00:00,32600.0,18500.0,2021-03-01T00:00:00,2021-03-05T00:00:00,327.0,"Pls update charterers to Viterra (they have changed name, but still same company registry etc.) 
also pls brokers name to Odin-RVB Europe B.V "
1E418B9D3DEAB7C4CFFA858581C852DF,1,2403,2024-04-22T00:00:00,130000.0,52500.0,2024-05-05T00:01:00,2024-05-05T15:00:00,84.0,
B366A5BAD96F234CFB2FDD2B1FDF930E,1,01/ Jan - COA 12th,2021-01-01T00:00:00,40000.0,19500.0,2021-10-19T00:00:00,2021-11-07T16:00:00,342.0,
215CD18F42853B4467F68D337F2818B3,1,,2022-01-18T00:00:00,,,2022-02-09T00:00:00,2022-02-13T16:00:00,,
4691DC7C2D72947D7807CFA6A17F9723,1,2003,2020-09-15T00:00:00,130000.0,25000.0,2020-09-29T00:00:00,2020-09-30T00:00:00,96.0,laycan 29-30 sep tbn 1 day
814A361E6F64082102A4E4457BCE0990,1,CVX CVC3#2 USG/LAS MINAS,2021-11-10T00:00:00,38000.0,20778.0,2021-12-21T00:00:00,2021-12-23T00:00:00,84.0,
587EC36B6B0EDEB82B9A867E89E3945E,1,CVX USG/WCCAM 19-20,2022-02-16T00:00:00,38000.0,20000.0,2022-02-19T00:00:00,2022-02-20T00:00:00,84.0,
34AB7571603DD7E5CD555D77EBB783D8,1,,2024-05-14T00:00:00,37000.0,45000.0,2024-05-18T00:00:00,2024-05-18T23:59:00,84.0,
9F520A46D4942076E6F77A3235FB8B62,1,,2024-05-17T00:00:00,38000.0,32000.0,2024-05-22T00:00:00,2024-05-22T23:59:00,84.0,
71580E995ABA6CFDB123EA5C7ABE5C31,1,,2024-07-31T00:00:00,38000.0,36000.0,2024-08-07T00:00:00,2024-08-07T23:59:00,84.0,
36A4E7BBC07F80761D4F66A3284D195F,1,Proman #7 USG/China 21-30,2021-10-06T00:00:00,40000.0,21500.0,2022-09-21T00:01:00,2022-09-30T23:59:00,200.0,
2297083F1EC5A7847224908339D16457,1,,2020-02-05T00:00:00,37000.0,21000.0,2020-02-09T00:00:00,2020-02-10T00:00:00,0.0,
589FA7F1B5E45250F90544A30E81724C,1,,2021-09-29T00:00:00,140000.0,24750.0,2021-10-02T00:01:00,2021-10-03T23:59:00,84.0,"Goa expenses on o/a (guards and awrp). AWRP and wharfage at fujairah on c/a. Pilots in Spore on c/a. Rate basis 1:1, anything in between to be paid as per interim. Overage at 50% if WS only."
CA2245058B2A5EC26FF133DA70DC6E33,1,07/ Jul,2023-07-13T00:00:00,30000.0,33500.0,2023-07-18T00:00:00,2023-07-23T16:00:00,240.0,
C4405B217F01BDB31244C86314B459A9,1,,2024-07-12T00:00:00,37000.0,36000.0,2024-05-03T00:01:00,2023-05-05T23:59:00,84.0,
8CE7F8C895388C23967E15F3635DBAD8,1,,2022-08-26T00:00:00,130000.0,50000.0,2022-08-27T00:01:00,2022-08-28T23:59:00,72.0,
A2D45F2F8E07A0E4D584C40A9F063A73,1,,2020-09-11T00:00:00,130000.0,22000.0,2020-09-28T00:01:00,2020-09-28T12:00:00,72.0,AWRP and War LOH for C/A. Guards split 50/50 as per piracy clause.
144E60DD0F7EAE18343F1B3048C43600,1,,2023-01-27T00:00:00,38000.0,16920.0,2023-01-30T00:00:00,2023-02-01T16:00:00,84.0,
E1C7499496D8D8B3B290A3599E1FE2AD,1,,2022-01-10T00:00:00,130000.0,25000.0,2022-01-20T00:01:00,2022-01-20T15:00:00,72.0,AWRP for c/a (clearly stated in voyage specific terms). Guards split 50/50 max 40k on c/a. MFR Forcados-Durban.
2C2FAF0531939CCCF455FE6892094B88,1,2202,2022-06-09T00:00:00,37000.0,43500.0,2022-06-16T00:01:00,2022-06-18T23:59:00,72.0,
6EAD201794202713C9A8C48FD7648442,1,,2024-05-03T00:00:00,38000.0,33000.0,2024-05-07T00:00:00,2024-05-08T16:00:00,84.0,
778319AADA94E94E0ECAA23DD64380AD,1,2108,2021-12-21T00:00:00,130000.0,27500.0,2022-01-01T00:01:00,,84.0,
63E20B13FC206771CCE1EFE1C69F791A,1,,2022-12-21T00:00:00,38000.0,35000.0,2022-12-28T00:00:00,2022-12-30T16:00:00,84.0,
31FB8EB60A97A28B5691F6DFD277E663,1,2402,2024-08-09T00:00:00,130000.0,40000.0,2024-08-17T00:00:00,,84.0,
B6FC1EB1415A5977E8A0539EA6EDCE2C,1,2201,2022-06-03T00:00:00,130000.0,30000.0,2022-06-25T00:01:00,,72.0,
85755803907BC4DC3AF4A358CC255FB2,1,CVX CVC #7 USG/CBS,2022-05-19T00:00:00,45000.0,21500.0,2022-09-07T00:00:00,2022-09-09T16:00:00,84.0,
A32D72FE477DF8D77EF06D6E783ECDCD,1,,2024-05-24T00:00:00,30000.0,50000.0,2024-06-08T00:00:00,2024-06-14T23:59:00,355.0,
D68C5D97C4393EA91097461A1D43E1D3,1,,2019-11-07T00:00:00,55000.0,23000.0,2019-11-18T00:01:00,2019-11-18T23:59:00,84.0,"Dirty condensate, no heat - if any heating required all expenses for charterers account. 
Owners option to bunker laden agreed, we shall make up for time lost if required.
"
357FADABD94E699811A9C695CDF177DA,1,,2022-10-21T00:00:00,40000.0,38000.0,2022-11-14T00:00:00,2022-11-24T00:00:00,290.0,
F48EE7F56B8D58444254678CE3DC047E,1,2206,2022-11-10T00:00:00,,,2022-12-02T00:00:00,2022-12-04T00:00:00,,
ECEAA6601C9BB195CB5FC2E985516427,1,,2021-11-04T00:00:00,37000.0,17500.0,2021-11-09T00:00:00,2021-11-10T00:00:00,84.0,
067E05FA0E2E12828B67FF18DC808404,1,,2023-07-14T00:00:00,38000.0,30000.0,2023-07-18T00:00:00,2023-07-18T16:00:00,72.0,
2DA0080E56ACACE72C0FC03F4C81C08F,1,2206,2022-10-14T00:00:00,140000.0,65000.0,2022-10-26T00:01:00,2022-10-08T23:59:00,84.0,
F055BACF33073FC6CC15232B25B46BCA,1,2303,2023-06-01T00:00:00,130000.0,60000.0,2023-06-17T00:01:00,2023-06-18T23:59:00,84.0,
2A935489EDD65A2397A78585B5A224E2,1,CVX CVC #3 USG/CBS,2022-05-19T00:00:00,45000.0,21500.0,2022-07-07T00:00:00,2022-07-08T00:00:00,84.0,
69C872A93C4830560C178BBA1E55E0B5,1,2304,2023-09-15T00:00:00,37000.0,38000.0,2023-09-19T00:01:00,2023-09-21T23:59:00,84.0,
025EBBC212B51C5F6E2A6DB564F76ADD,1,2306,2023-10-05T00:00:00,145000.0,60000.0,2023-10-12T00:00:00,2023-10-13T23:59:00,72.0,"- RATES ARE ALL INCLUSIVE BASIS 1 SAFE BERTH HOUSTON, TEXAS WITH DISCHARGE AT TEXAS LIGHTERING ZONE. PLUS OVERTIME, IF INCURRED AT THE OVERTIME RATE OF 60,000 USD PDPR IN EXCESS OF A MINIMUM PERIOD OF 3 CUMULATIVE DAYS, WITH ALL COSTS INCLUDING BUT NOT LIMITED TO BUNKERS, PORT CHARGES, AND AGENCY  FEES FOR OWNERS ACCOUNT. TIME TO COUNT IN FULL FROM TENDERING NOR ON ARRIVAL FIRST SEA PILOT STATION AT LOAD UNTIL FENDERS/MOORING MASTER AWAY. COFR FOR OWNERS ACCOUNT
"
9CD23C74ED7F91E0FAD7AF79A1FE3914,1,,2024-07-10T00:00:00,38000.0,37000.0,2024-07-15T00:00:00,2024-07-17T16:00:00,84.0,
3F9829611FAEC74FC148A97C5E7E3561,1,,2024-08-19T00:00:00,38000.0,33000.0,2024-08-21T00:00:00,2024-08-23T00:00:00,84.0,
358F13F970441AF33B6CDB099A158614,1,2405,2024-08-19T00:00:00,,,2024-08-17T00:00:00,2024-08-17T16:00:00,,
648ECB14EDECDB958EA876F662B33282,1,CVC#4 Q3 Voy 3,2023-08-28T00:00:00,38000.0,39900.0,2023-08-28T00:00:00,2023-08-30T00:00:00,84.0,
82A8B6D2BA0A6C4ADEE84AAB4986F757,1,2403,2024-04-29T00:00:00,,,2024-08-31T00:00:00,2024-09-02T16:00:00,,"$1,200 per month for victualling and Comm fees - invoiced along with hire, but, non-commissioned.

Fourth SSSP ship on long-term hire to Mercuria - min 33 months - Maximum 40 months

 "
3970004E515530B67F9495550D9E5BF7,1,2103,2021-09-24T00:00:00,130000.0,23000.0,2021-10-09T00:01:00,,72.0,
BC2EF80A27F72AE9B665093EDCE70FF5,1,CVC #1/1 24' - CTT-23-098,2023-11-27T00:00:00,38000.0,50000.0,2023-11-28T00:00:00,2023-11-30T16:00:00,84.0,
C0D2F176552C341938CE651959FE6A10,1,2208,2022-11-21T00:00:00,130000.0,95000.0,2022-12-12T00:01:00,2022-12-13T23:59:00,96.0,
7F483D719DC863C8DC089899DE6A7E1F,1,,2020-11-30T00:00:00,,,,,,
E32C4D4222EBA846E1AFAF8B7AC310A6,1,2104,2021-11-21T00:00:00,130000.0,26000.0,2021-11-30T00:00:00,,84.0,
01158DCAB12113D289E89F4A6878E75E,1,2001,2020-07-01T00:00:00,30000.0,,2020-07-05T00:00:00,2020-07-10T00:00:00,400.0,"Generated for agency appointment matters. 

S&C needs updating as well as actual prices of bunkers. 

Charterers and brokers not available and to be inserted as well in system. "
18B375888FF2BE72F844C4DB1326AB90,1,PMI x2 usg ecmex,2022-04-08T00:00:00,38000.0,65000.0,2022-04-12T00:00:00,2022-04-14T00:00:00,72.0,
18B375888FF2BE72F844C4DB1326AB90,2,PMI x2 usg ecmex,2022-04-08T00:00:00,38000.0,65000.0,,,72.0,
A66F67F06D94BEA5058FED632768864C,1,2301,2023-02-09T00:00:00,140000.0,55000.0,2023-02-17T00:01:00,2023-03-18T12:00:00,84.0,
21E91AE7D74174F2887609A00F808C27,1,2402,2024-03-12T00:00:00,135000.0,52500.0,2024-04-03T00:00:00,,84.0,
1A54006E575C75BB6A1A5708B2EA530D,1,2102,2021-04-20T00:00:00,130000.0,25000.0,2021-04-30T00:01:00,,84.0,
21CECF09AD78B8764C22CF54569ECFCD,1,2103,2021-05-13T00:00:00,145000.0,23500.0,2021-05-22T00:01:00,2021-05-23T23:59:00,84.0,
557623A3C8FB83E63A9F9AA8ECA1C027,1,2201,2022-02-01T00:00:00,130000.0,27500.0,2022-02-05T00:01:00,,84.0,
CF651AF344F7A0E9D68D6536EE6B307B,1,,2024-01-17T00:00:00,35000.0,40000.0,2024-01-17T00:01:00,2024-01-18T23:59:00,84.0,
CF651AF344F7A0E9D68D6536EE6B307B,2,,,35000.0,,,,0.0,
06DA7B821CA85F3231938535E44AA635,1,24CVC#2 Q1 Voy 2,2024-05-03T00:00:00,38000.0,38000.0,2024-05-07T00:00:00,2024-05-08T16:00:00,84.0,
E7FB52F6DA6506089FAFDFEC65EE9E58,1,,2022-04-26T00:00:00,37000.0,26500.0,2022-04-30T00:00:00,2022-05-02T23:59:00,84.0,
FF1FF7ACC58B53368764536AD9CD2912,1,12/Dec,2020-12-04T00:00:00,30000.0,23500.0,2020-12-07T00:00:00,,276.0,
740CFAB83F65204DCCF27ED2542512CF,1,,2022-01-26T00:00:00,35000.0,19000.0,2022-02-04T00:01:00,2022-02-04T23:59:00,84.0,
D644037813A450A37FBE18D9ADA359B9,1,J GLOB TC/CVC 4,2022-06-29T00:00:00,45000.0,,2022-11-23T18:00:00,2022-11-24T16:00:00,0.0,
D644037813A450A37FBE18D9ADA359B9,2,J GLOB TC/CVC 4,2022-06-29T00:00:00,45000.0,,,,0.0,
0FDB2BF260E37A8B9D6DDB0CC318DF83,1,2301,2023-02-01T00:00:00,37000.0,30000.0,2023-02-08T00:01:00,2023-02-08T23:59:00,84.0,
5236AE6116FD7BFF85ED6DB5761248C5,1,,2022-07-05T00:00:00,145000.0,45000.0,2022-07-21T00:01:00,2022-07-22T23:59:00,84.0,
2F3F2E14C634FDD8996C6A55547D1AD2,1,2204,2022-07-08T00:00:00,135000.0,39000.0,2022-07-17T00:01:00,,84.0,
21ECFF2B28A17FAC8EA74AB59154AEB0,1,2403,2024-04-04T00:00:00,130000.0,57500.0,2024-04-17T00:01:00,2024-04-17T15:00:00,84.0,
723035CD2B8D3057C3F80B1822C384C1,1,2207,2022-11-23T00:00:00,37000.0,54000.0,2022-11-25T00:01:00,2022-11-27T23:59:00,84.0,
C7831BB6860EF7FDD8A2C37CA7F30F48,1,,2024-03-26T00:00:00,37000.0,33000.0,2024-03-29T00:01:00,2024-03-30T23:59:00,84.0,ARA/TA ws190 -5 if d/r Amsterdam
5F9C912D19F82815B2FC6101196A2874,1,,2023-05-24T00:00:00,38000.0,32000.0,2023-05-25T00:00:00,2023-05-27T00:00:00,84.0,
EB2550F715183E26D05A83D232DF84BD,1,Alunorte #5 OO 21-30 Oct,2021-11-07T00:00:00,40000.0,18750.0,2022-10-21T00:00:00,2022-10-30T00:00:00,102.0,
6F358CD5E6CAE5DEC6402CBBB20F2EF9,1,03/ Mar,2021-03-19T00:00:00,35000.0,17500.0,2021-03-21T00:00:00,2021-03-22T23:59:00,84.0,
A2803931848147315DB257A5F3F4F07F,1,,2017-11-17T00:00:00,41000.0,,2019-11-18T00:01:00,2019-12-07T16:00:00,348.0,
56233368B703A2A5DC8F8B11A6BA0283,1,,2023-10-27T00:00:00,130000.0,80000.0,2023-11-21T00:00:00,2023-11-22T00:00:00,84.0,
5BD7D66754CD0D2A64DDA709ACA1C052,1,,2021-03-18T00:00:00,24000.0,21000.0,2021-04-10T00:01:00,2021-04-20T23:59:00,154.0,
557C01F1721216B67C3F30CAAC37C7CD,1,,2021-08-05T00:00:00,130000.0,21000.0,2021-08-25T00:01:00,,84.0,
0DE071B2BC3DCC968063B3C51F8AFC90,1,2403,2024-06-20T00:00:00,,,2024-06-18T21:30:00,,,
356D89D0EF2126659E475FA686F56545,1,12/ Dec - COA 4th,2021-12-21T00:00:00,25000.0,21000.0,2022-09-27T00:00:00,2022-10-07T16:00:00,200.0,
356D89D0EF2126659E475FA686F56545,2,09/ Sep,2022-09-21T00:00:00,15000.0,50000.0,2022-10-01T00:00:00,,130.0,
