voyage_id,revenue,expenses,pnl,tce,days,bunkers,commission,port,sailedIn,efficiency,expense,modified_by,modified_date
F07C63363AA52CE4DA88F51E243FDF49,1413109.0699999998,986602.41243116,426506.65756883996,6278.697038368497,67.92916666666666,823924.68993116,65629.5625,49955.15,426506.65756883996,83.88969521044991,47093.01,"Heng, Rainer",2024-05-13T00:29:15.67
8C8ABAED635849EDC99CCFB4A699F593,1759813.6111844445,753732.4813592,-788254.0264247556,24463.978840735428,41.125,647113.7288559,78676.8125033,138323.1,1006081.1298252444,59.124579124579114,-110381.16,"Kajrud, Michaela",2023-11-09T08:35:57.793
5F1D3AE7140B97ECE1CEE7C339C38316,1629946.3040916666,1134457.5921666666,495488.71192499995,8825.03086174397,56.145833333333336,969974.283,40567.629166666666,39388.68,495488.71192499995,37.87618228718831,84527.0,"Warnement, William",2022-08-05T15:54:23.213
6227748A22F3EDA151AC211A23A49947,1541389.2000000002,841732.45420856,699656.7457914401,20194.542271791415,34.645833333333336,540612.77370856,56182.3905,197245.84,699656.7457914401,72.11991021215998,47691.45,"Contreras, Catherine",2022-07-22T15:13:46.283
DD73A9657D7609C9AD24445398408847,1893085.9333333333,1038715.857,854370.0763333334,23793.08636806684,35.90833333333333,497350.302,66110.075,460422.20999999996,854370.0763333334,97.39517712209557,14833.27,"Contreras, Catherine",2022-11-03T16:42:41.513
A0B05E14B72C5C9A088FCB75D2DA2B14,1431165.5375833332,966762.54884125,-197331.3862579168,7895.212672529572,58.82083333333333,647418.836,63945.38284125,230697.37000000002,464402.9887420832,73.70950139271228,24700.96,"Andersen, Thomas",2023-06-15T11:49:23.99
1E418B9D3DEAB7C4CFFA858581C852DF,4847354.187175,1871927.5631440626,2975426.6240309374,35349.56181247411,84.17152777777778,1205453.296,176120.8971440625,302357.53,2975426.6240309374,48.5031059771882,187995.84,"syrjanen, Taina",2024-09-05T12:22:59.213
B366A5BAD96F234CFB2FDD2B1FDF930E,2554128.432,1484715.37616897,-115894.06083563669,13415.175276993896,79.71666666666667,991598.89592897,50762.63024,574487.96,1069413.05583103,79.20941047736288,-132134.11,"Rasmussen, Nadia",2022-06-14T08:54:23.51
215CD18F42853B4467F68D337F2818B3,1585536.625,181914.56191625568,-290013.35358292237,14503.349340857563,96.77916666666665,-31105.961999994295,92428.79391625,3432.2,1403622.0630837441,85.3779027081454,117159.52999999998,"Andersen, Thomas",2023-09-04T14:28:32.637
4691DC7C2D72947D7807CFA6A17F9723,3418664.463888889,1830172.1955201733,1588492.2683687154,18940.68682474621,83.86666666666666,764605.31312434,128123.37239583333,936676.01,1588492.2683687154,58.5211845677843,767.5,"Contreras, Catherine",2022-11-03T16:37:18.367
814A361E6F64082102A4E4457BCE0990,690158.95,328790.89626358,37999.30373642,17321.4165961136,20.8625,229011.75613858,32782.550125,66996.59,361368.05373642,28.837471783295715,0.0,"Andersen, Thomas",2022-08-09T08:38:29.887
587EC36B6B0EDEB82B9A867E89E3945E,1492791.666,642198.63134094,376659.70132572664,28716.039994116527,29.620833333333334,200550.31054594,83535.520795,315912.8,850593.03465906,57.33821638680018,42200.0,"Andersen, Thomas",2022-10-05T12:03:30.087
34AB7571603DD7E5CD555D77EBB783D8,1242828.12,386874.692625,480753.42737499997,36501.21225479744,23.45,152764.932,71164.630625,142816.01,855953.427375,52.926127278541735,20129.12,"Andersen, Thomas",2024-07-16T07:53:25.14
9F520A46D4942076E6F77A3235FB8B62,2258226.6656,750509.01565231,818608.2749476901,33365.812446975164,45.1875,392833.20238031,129848.03327200002,209778.63,1507717.64994769,66.89243027888446,18049.15,"Heng, Rainer",2024-08-26T07:42:50.45
71580E995ABA6CFDB123EA5C7ABE5C31,1447147.85658,674845.47227109,189635.71764224337,21207.38812747579,36.416666666666664,417440.79051774,83211.00175335,174193.68,772302.38430891,63.73540856031128,0.0,"Ervasti, Josh",2024-09-04T07:45:25.433
36A4E7BBC07F80761D4F66A3284D195F,1953978.14365,1511710.69631242,-631925.2609957535,6690.462487300296,66.10416666666667,1014395.67984817,87029.01646425,472239.46,442267.44733758003,77.75955765764544,-61953.46,"Andersen, Thomas",2024-08-28T12:02:12.303
2297083F1EC5A7847224908339D16457,1721651.67,743054.00574682,20978.91425318003,16861.471708002242,58.037499999999994,478850.91449682,95908.13125,154341.52000000002,978597.6642531799,73.12862816987473,13953.44,"Andersen, Thomas",2020-10-15T13:41:53.453
589FA7F1B5E45250F90544A30E81724C,2586442.8275000006,1480074.62915625,1106368.1983437503,20884.72295127419,52.975,881828.564,91725.18515625,468221.66000000003,1106368.1983437503,85.49037045271378,38299.219999999994,"syrjanen, Taina",2024-04-03T08:06:11.747
CA2245058B2A5EC26FF133DA70DC6E33,3025220.101944444,1452257.1688360055,452532.72477510455,21409.352007373964,73.47083333333333,638556.1649992,170048.29383680556,552435.8,1572962.9331084378,74.34594676575415,91216.90999999999,"Rasmussen, Nadia",2024-01-12T12:40:00.18
C4405B217F01BDB31244C86314B459A9,1161830.9612,434592.66455042,294079.96331624675,39622.51786513036,18.354166666666668,209836.81992142,66671.940069,133841.27000000002,727238.2966495801,95.60957910014514,24242.634560000002,"Andersen, Thomas",2024-09-04T11:18:00.897
8CE7F8C895388C23967E15F3635DBAD8,5076380.0,1532948.48098794,3543431.51901206,69479.04939239334,51.0,754156.93598794,124109.375,542976.1699999999,3543431.51901206,73.36460310071968,111706.0,"Bruno, Austin",2023-02-07T17:39:07.387
A2D45F2F8E07A0E4D584C40A9F063A73,703650.62157,542308.977491725,161341.64407827496,4173.528193445353,38.65833333333333,392452.802,27909.665491725,64543.25,161341.64407827496,48.1850744906573,57403.259999999995,"Warnement, William",2022-01-08T01:06:40.67
144E60DD0F7EAE18343F1B3048C43600,651899.500564,372433.83376833005,-189830.16653766326,8783.624938575276,31.816666666666666,194397.6,21186.73376833,154849.5,279465.66679567005,70.48458149779736,2000.0,"Butcher, Carol",2023-10-11T11:32:10.6
E1C7499496D8D8B3B290A3599E1FE2AD,1113497.0547722224,1192115.6419791856,-78618.58720696298,-1495.7162845557762,52.5625,929818.78142363,23150.93055555556,32505.24,-78618.58720696298,24.712006249940156,206640.69,"Contreras, Catherine",2022-07-22T15:02:09.923
2C2FAF0531939CCCF455FE6892094B88,3828678.2598449998,787116.1477449626,2341530.8621000377,61914.75037353767,49.125,495657.343,124108.2147449625,141613.92,3041562.1121000377,85.97723558588262,25736.670000000002,"Hasbo, Gustav",2023-08-09T09:54:00.84
6EAD201794202713C9A8C48FD7648442,2347457.6176,858818.6111568599,518080.6731098065,52149.082111568176,28.545833333333334,227574.45659486,125384.24456199999,338997.85,1488639.0064431399,58.26284299566743,166862.06,"Andersen, Thomas",2024-08-06T13:36:19.29
778319AADA94E94E0ECAA23DD64380AD,2976541.5416666665,1832226.5052366997,1144315.0364299668,19238.92180337597,59.47916666666667,1134498.3511742,110893.1640625,576853.36,1144315.0364299668,77.87262573269147,9981.63,"syrjanen, Taina",2023-09-18T08:20:50.16
63E20B13FC206771CCE1EFE1C69F791A,1051204.8615,517731.1187675,81473.74273250019,18884.026291415936,28.25,299473.8,47304.2187675,170953.09999999998,533473.7427325002,52.791647753064,0.0,"Butcher, Carol",2023-06-07T18:02:29.913
31FB8EB60A97A28B5691F6DFD277E663,4492567.385391875,1887597.1964869553,2604970.1889049197,31548.57462950761,82.57013888888889,1546752.11953476,167615.07695219532,128000.0,2604970.1889049197,54.69789489849579,45230.0,"Dulin, Kyrylo",2024-09-02T12:40:16.383
B6FC1EB1415A5977E8A0539EA6EDCE2C,2566191.223333333,1696123.7709999997,870067.4523333332,15668.656753958127,55.52916666666667,1405267.876,94372.625,94521.39,870067.4523333332,56.13357614586304,101961.88,"Contreras, Catherine",2023-03-22T19:46:51.24
85755803907BC4DC3AF4A358CC255FB2,775246.5926000001,452092.41949107,97435.42310893006,22190.844505334255,14.5625,335896.40064757,36387.6388435,79693.38,323154.17310893006,47.99999999999999,115.0,"Andersen, Thomas",2023-09-20T08:52:15.857
A32D72FE477DF8D77EF06D6E783ECDCD,7414181.714360001,2072939.27863768,3611242.4357223213,49398.773971998344,108.125,1273355.94427768,327150.0,273714.24,5341242.435722321,90.67307023038909,198719.09436,"Andersen, Thomas",2024-09-04T12:57:32.86
D68C5D97C4393EA91097461A1D43E1D3,1078438.1499999997,810321.20384144,268116.9461585595,5154.030202487327,52.020833333333336,548610.91459144,26907.239249999995,234803.05000000002,268116.9461585595,31.382515033761322,0.0,"Contreras, Catherine",2022-04-06T16:58:22.787
357FADABD94E699811A9C695CDF177DA,3253987.5,1235726.22332848,663205.9641715204,26698.049187078483,75.59583333333333,754303.31582848,146429.4375,299252.46,2018261.2766715204,76.24391092553932,35741.01,"Hasbo, Gustav",2023-11-06T09:06:08.457
F48EE7F56B8D58444254678CE3DC047E,4857000.0,269747.44956927985,4587252.550430721,83970.75830244627,54.62916666666667,138699.35956927983,121425.0,0.0,4587252.550430721,98.81441669301296,9623.09,"Masembo, Miguel",2024-03-20T12:56:38.013
ECEAA6601C9BB195CB5FC2E985516427,2005116.39,1025201.0634000001,186402.82660000003,13583.99343753249,72.1375,443621.808,104406.19540000001,398169.89,979915.3266,72.01199852424568,79003.17,"Bergh, Oliver",2023-07-24T10:04:30.973
067E05FA0E2E12828B67FF18DC808404,1431062.09382,575176.66966965,322885.42415035015,25692.62061239325,33.3125,292066.748,80861.47166965001,167493.72999999998,855885.4241503502,48.89502762430939,34754.72,"Rasmussen, Nadia",2024-02-14T12:09:11.2
2DA0080E56ACACE72C0FC03F4C81C08F,4417278.840050001,2319070.934387455,2098207.905662546,30072.851439773727,69.77083333333333,1556883.84301058,163169.901376875,568564.26,2098207.905662546,58.664007491092164,30452.93,"Contreras, Catherine",2023-04-04T18:40:04.597
F055BACF33073FC6CC15232B25B46BCA,7032411.73776425,2228988.9645559294,4803422.773208321,81656.14574089793,58.825,1301713.47188977,259891.75266615936,619566.64,4803422.773208321,90.85958941855719,47817.1,"syrjanen, Taina",2023-11-22T14:10:29.3
