vessel_id,profile_name,passage_type,speed,ifo,mgo,rpm,is_default
DD6DD393DE22484CAE5391948F277C3D,Default,Ballast,12.0,25.3,0.0,0,False
DD6DD393DE22484CAE5391948F277C3D,Default,Ballast,12.5,28.0,0.0,0,False
DD6DD393DE22484CAE5391948F277C3D,Default,Ballast,13.0,31.0,0.0,0,True
DD6DD393DE22484CAE5391948F277C3D,Default,Ballast,13.5,34.1,0.0,0,False
DD6DD393DE22484CAE5391948F277C3D,Default,Ballast,14.0,37.6,0.0,0,False
DD6DD393DE22484CAE5391948F277C3D,Default,Ballast,14.5,41.2,0.0,0,False
DD6DD393DE22484CAE5391948F277C3D,Default,Laden,12.0,29.8,0.0,0,False
DD6DD393DE22484CAE5391948F277C3D,Default,Laden,12.5,33.1,0.0,0,False
DD6DD393DE22484CAE5391948F277C3D,Default,Laden,13.0,36.6,0.0,0,True
DD6DD393DE22484CAE5391948F277C3D,Default,Laden,13.5,40.5,0.0,0,False
DD6DD393DE22484CAE5391948F277C3D,Default,Laden,14.0,44.6,0.0,0,False
DD6DD393DE22484CAE5391948F277C3D,Default,Laden,14.5,49.1,0.0,0,False
5E1569116739DE31DF4F3BD75C609899,Default,Ballast,12.0,17.3,0.1,0,False
5E1569116739DE31DF4F3BD75C609899,Default,Ballast,13.0,21.8,0.1,0,True
5E1569116739DE31DF4F3BD75C609899,Default,Ballast,14.0,26.8,0.1,0,False
5E1569116739DE31DF4F3BD75C609899,Default,Laden,12.0,19.3,0.1,0,False
5E1569116739DE31DF4F3BD75C609899,Default,Laden,13.0,23.8,0.1,0,True
5E1569116739DE31DF4F3BD75C609899,Default,Laden,14.0,28.8,0.1,0,False
DD6DD393DE22484CAE5391948F277C3D,Default,Ballast,12.0,25.3,0.0,0,False
DD6DD393DE22484CAE5391948F277C3D,Default,Ballast,12.5,28.0,0.0,0,False
DD6DD393DE22484CAE5391948F277C3D,Default,Ballast,13.0,31.0,0.0,0,True
DD6DD393DE22484CAE5391948F277C3D,Default,Ballast,13.5,34.1,0.0,0,False
DD6DD393DE22484CAE5391948F277C3D,Default,Ballast,14.0,37.6,0.0,0,False
DD6DD393DE22484CAE5391948F277C3D,Default,Ballast,14.5,41.2,0.0,0,False
DD6DD393DE22484CAE5391948F277C3D,Default,Laden,12.0,29.8,0.0,0,False
DD6DD393DE22484CAE5391948F277C3D,Default,Laden,12.5,33.1,0.0,0,False
DD6DD393DE22484CAE5391948F277C3D,Default,Laden,13.0,36.6,0.0,0,True
DD6DD393DE22484CAE5391948F277C3D,Default,Laden,13.5,40.5,0.0,0,False
DD6DD393DE22484CAE5391948F277C3D,Default,Laden,14.0,44.6,0.0,0,False
DD6DD393DE22484CAE5391948F277C3D,Default,Laden,14.5,49.1,0.0,0,False
B8E568D9FFD54D063CF5B37BDEE67161,Default,Ballast,12.0,19.0,0.0,0,False
B8E568D9FFD54D063CF5B37BDEE67161,Default,Ballast,12.5,20.2,0.0,0,False
B8E568D9FFD54D063CF5B37BDEE67161,Default,Ballast,13.0,21.5,0.0,0,True
B8E568D9FFD54D063CF5B37BDEE67161,Default,Ballast,13.5,22.9,0.0,0,False
B8E568D9FFD54D063CF5B37BDEE67161,Default,Laden,12.0,23.5,0.0,0,False
B8E568D9FFD54D063CF5B37BDEE67161,Default,Laden,12.5,25.1,0.0,0,False
B8E568D9FFD54D063CF5B37BDEE67161,Default,Laden,13.0,26.8,0.0,0,True
B8E568D9FFD54D063CF5B37BDEE67161,Default,Laden,13.5,28.6,0.0,0,False
51D8A1DA855455CD389A1839DD9B41C2,Default,Ballast,12.0,20.2,0.0,0,False
51D8A1DA855455CD389A1839DD9B41C2,Default,Ballast,12.5,21.7,0.0,0,False
51D8A1DA855455CD389A1839DD9B41C2,Default,Ballast,13.0,23.2,0.0,0,True
51D8A1DA855455CD389A1839DD9B41C2,Default,Ballast,13.5,24.8,0.0,0,False
51D8A1DA855455CD389A1839DD9B41C2,Default,Laden,12.0,22.9,0.0,0,False
51D8A1DA855455CD389A1839DD9B41C2,Default,Laden,12.5,24.6,0.0,0,False
51D8A1DA855455CD389A1839DD9B41C2,Default,Laden,13.0,26.4,0.0,0,True
51D8A1DA855455CD389A1839DD9B41C2,Default,Laden,13.5,28.3,0.0,0,False
9ADD42678DB78F25AAB34AD9A2D13F8B,Default,Ballast,10.0,12.3,0.0,0,False
9ADD42678DB78F25AAB34AD9A2D13F8B,Default,Ballast,12.0,18.0,0.0,0,False
9ADD42678DB78F25AAB34AD9A2D13F8B,Default,Ballast,13.0,19.3,0.0,0,True
9ADD42678DB78F25AAB34AD9A2D13F8B,Default,Ballast,13.5,20.3,0.0,0,False
9ADD42678DB78F25AAB34AD9A2D13F8B,Default,Ballast,15.0,28.3,0.0,0,False
9ADD42678DB78F25AAB34AD9A2D13F8B,Default,Laden,10.0,13.5,0.0,0,False
9ADD42678DB78F25AAB34AD9A2D13F8B,Default,Laden,12.0,19.5,0.0,0,False
9ADD42678DB78F25AAB34AD9A2D13F8B,Default,Laden,13.0,21.2,0.0,0,True
9ADD42678DB78F25AAB34AD9A2D13F8B,Default,Laden,13.5,21.7,0.0,0,False
9ADD42678DB78F25AAB34AD9A2D13F8B,Default,Laden,15.0,31.3,0.0,0,False
077F023F5FD810F5290BC44FA07429D4,Default,Ballast,12.0,16.3,0.0,0,False
077F023F5FD810F5290BC44FA07429D4,Default,Ballast,12.5,18.3,0.0,0,False
077F023F5FD810F5290BC44FA07429D4,Default,Ballast,13.0,20.4,0.0,0,True
077F023F5FD810F5290BC44FA07429D4,Default,Ballast,13.5,23.4,0.0,0,False
077F023F5FD810F5290BC44FA07429D4,Default,Laden,12.0,18.3,0.0,0,False
077F023F5FD810F5290BC44FA07429D4,Default,Laden,12.5,19.8,0.0,0,False
077F023F5FD810F5290BC44FA07429D4,Default,Laden,13.0,21.9,0.0,0,True
077F023F5FD810F5290BC44FA07429D4,Default,Laden,13.5,24.9,0.0,0,False
A43C8EB374F9979B16AAA3720D0933EE,Default,Ballast,13.0,18.0,0.0,0,True
A43C8EB374F9979B16AAA3720D0933EE,Default,Laden,13.0,22.5,0.0,0,True
648ECB14EDECDB95772AA913EA6B43B3,Default,Ballast,12.5,25.8,0.0,0,True
648ECB14EDECDB95772AA913EA6B43B3,Default,Ballast,13.0,27.3,0.0,0,False
648ECB14EDECDB95772AA913EA6B43B3,Default,Ballast,14.0,29.0,0.0,0,False
648ECB14EDECDB95772AA913EA6B43B3,Default,Ballast,14.5,30.0,0.0,0,False
