voyage_id,fixture_display_order,name,quantity,flat_rate,total,remark,is_commission
F07C63363AA52CE4DA88F51E243FDF49,1,Freight,,1200000.0,1200000.0,,True
F07C63363AA52CE4DA88F51E243FDF49,1,Miscellaneous,-1.0,50000.0,-50000.0,,True
F07C63363AA52CE4DA88F51E243FDF49,1,Rebill:Insurance,,10281.76,10281.76,,False
F07C63363AA52CE4DA88F51E243FDF49,1,Rebill:Charterer’s Expense,,8935.9,8935.9,,False
F07C63363AA52CE4DA88F51E243FDF49,1,Deviation,,195450.0,195450.0,Interim Port Time,True
F07C63363AA52CE4DA88F51E243FDF49,1,Deviation,,12216.41,12216.41,Interim Port Bunkers,False
F07C63363AA52CE4DA88F51E243FDF49,1,Demurrage,2.0125,18000.0,36225.0,Demurrage,True
8C8ABAED635849EDC99CCFB4A699F593,1,Freight,40000.0,25.5,1020000.0,,True
8C8ABAED635849EDC99CCFB4A699F593,1,Freight,1.0,85000.0,85000.0,Compensation for additional port,True
8C8ABAED635849EDC99CCFB4A699F593,1,Rebill:Miscellaneous,1.0,11440.0,11440.0,Bunker cancellation fee for chtrs acc,False
8C8ABAED635849EDC99CCFB4A699F593,1,Freight,40000.0,15.0,600000.0,Compensation for Emma Grace ballast,True
8C8ABAED635849EDC99CCFB4A699F593,1,Demurrage,1.971527781111111,22000.0,43373.61118444444,,True
5F1D3AE7140B97ECE1CEE7C339C38316,1,Freight,130000.0,15.48,1509300.0,,True
5F1D3AE7140B97ECE1CEE7C339C38316,1,Rebill:Miscellaneous,,4377.0,4377.0,AWRP for C/A,False
5F1D3AE7140B97ECE1CEE7C339C38316,1,Freight,10700.0,15.48,62113.5,Overage,True
5F1D3AE7140B97ECE1CEE7C339C38316,1,Miscellaneous,,-35356.8,-35356.8,2.25% COA freight discount,False
5F1D3AE7140B97ECE1CEE7C339C38316,1,Rebill:Guards,,39375.0,39375.0,,False
5F1D3AE7140B97ECE1CEE7C339C38316,1,Demurrage,1.709722222222222,30000.0,51291.66666666666,,True
5F1D3AE7140B97ECE1CEE7C339C38316,1,Demurrage,0.0225,-51291.67,-1154.062575,COA discount on demurrage,False
6227748A22F3EDA151AC211A23A49947,1,Freight,145000.0,16.91,1348572.5,,True
6227748A22F3EDA151AC211A23A49947,1,Differential,,111124.58,111124.58,,True
6227748A22F3EDA151AC211A23A49947,1,Rebill:Charterer’s Expense,,40639.27,40639.27,Dockage cost at CC-Pin Oak # 14 for Charterers account. ,False
6227748A22F3EDA151AC211A23A49947,1,Rebill:Charterer’s Expense,,2552.85,2552.85,Escort tgs,False
6227748A22F3EDA151AC211A23A49947,1,Demurrage,1.283333333333333,30000.0,38499.99999999999,,True
DD73A9657D7609C9AD24445398408847,1,Freight,,1575000.0,1575000.0,,True
DD73A9657D7609C9AD24445398408847,1,Miscellaneous,100.0,618.0,61800.0,Est interim bunkres for charterers account,False
DD73A9657D7609C9AD24445398408847,1,Miscellaneous,5.833,24000.0,139992.0,Est interim time for charterers account,True
DD73A9657D7609C9AD24445398408847,1,Miscellaneous,45.4,339.0,15390.6,Interim bunkers for charterers account,False
DD73A9657D7609C9AD24445398408847,1,Miscellaneous,76.3,400.0,30520.0,Cargo Heating,False
DD73A9657D7609C9AD24445398408847,1,Miscellaneous,5.3,400.0,2120.0,Purging costs,False
DD73A9657D7609C9AD24445398408847,1,Interim Freight,1.84,24000.0,44160.0,TP interim port,True
DD73A9657D7609C9AD24445398408847,1,Bunkers,50.8,400.0,20320.0,TP discharge bunkers,False
DD73A9657D7609C9AD24445398408847,1,Demurrage,0.1576388888888887,24000.0,3783.3333333333285,,True
A0B05E14B72C5C9A088FCB75D2DA2B14,1,Freight,32600.0,38.5,1255100.0,,True
A0B05E14B72C5C9A088FCB75D2DA2B14,1,Freight,1998.494,19.25,38471.0095,,True
